Invoice_number,Customer_id,Service_id,Agent_id,Payment_status,Transaction_type,Mode_of_payment,Plan_name,Plan_category,Plan_charge,Tax_amount,Actual_amount,Billed_amount,Paid_amount,Balance_amount,Zone_area,Data_bought,Data_used,Billing_cycle,Billing_date_year,Billing_date_month,Billing_date_day,Plan_start_date_year,Plan_start_date_month,Plan_start_date_day,Plan_end_date_year,Plan_end_date_month,Plan_end_date_day,No_of_valid_days,Anomaly_type,Leakage
INV103225,CUST001449,SVC2836,AGT048,Pending,New Connection,Cash,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,Circle-North,30,16.95,28,2025,8,3,2025,7,29,2025,8,26,29,No anomaly,No
INV104643,CUST000163,SVC7070,AGT082,Paid,Recharge,UPI,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0.0,Metro-A,30,28.3,30,2024,1,17,2024,1,16,2024,2,15,31,No anomaly,No
INV103686,CUST002956,SVC9225,AGT128,Pending,Plan Change,Net Banking,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0.0,9438.82,Metro-B,500,372.32,31,2025,5,1,2025,4,28,2025,5,29,32,Usage mismatch,No
INV101551,CUST004251,SVC5506,AGT114,Pending,Plan Change,Auto Debit,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0.0,5898.82,Circle-West,200,71.96,28,2024,9,5,2024,9,2,2024,9,30,29,No anomaly,No
INV100839,CUST000120,SVC6523,AGT050,Pending,New Connection,Debit Card,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0.0,3538.82,Metro-A,100,2.65,30,2024,4,14,2024,4,13,2024,5,13,31,No anomaly,No
INV105715,CUST004630,SVC8577,AGT059,Pending,Plan Change,Cash,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0.0,5898.82,Metro-B,200,133.34,31,2025,5,28,2025,5,23,2025,6,23,32,No anomaly,No
INV105962,CUST006394,SVC1061,AGT055,Pending,Bill Payment,Debit Card,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,Circle-North,30,22.93,30,2024,7,18,2024,7,16,2024,8,15,31,No anomaly,No
INV103079,CUST001430,SVC5061,AGT117,Pending,New Connection,Net Banking,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,Circle-West,1000,4.67,28,2025,4,1,2025,3,29,2025,4,26,29,No anomaly,No
INV103980,CUST007348,SVC9518,AGT063,Pending,New Connection,Auto Debit,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,Metro-A,1000,650.23,28,2023,11,4,2023,11,3,2023,12,1,29,No anomaly,No
INV101357,CUST001780,SVC6532,AGT142,Pending,Plan Change,Cash,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,Circle-South,750,36.26,28,2025,6,29,2025,6,24,2025,7,22,29,No anomaly,No
INV105744,CUST002483,SVC2666,AGT098,Pending,Recharge,Wallet,Youth Special,Prepaid,599,107.82,706.82,706.82,0.0,706.82,Circle-East,10,5.04,31,2025,3,24,2025,3,19,2025,4,19,32,No anomaly,No
INV104064,CUST007291,SVC9133,AGT005,Pending,Recharge,Debit Card,Basic Starter,Prepaid,399,71.82,470.82,470.82,0.0,470.82,Circle-West,5,4.01,30,2024,9,10,2024,9,7,2024,10,7,31,No anomaly,No
INV103526,CUST001264,SVC7577,AGT136,Pending,Plan Change,Cash,Data Booster,Prepaid,999,179.82,1178.82,1178.82,0.0,1178.82,Circle-West,25,12.71,30,2025,5,26,2025,5,22,2025,6,21,31,No anomaly,No
INV104945,CUST006665,SVC4792,AGT013,Pending,Recharge,Auto Debit,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,Circle-West,30,10.84,28,2023,11,22,2023,11,18,2023,12,16,29,No anomaly,No
INV105572,CUST007884,SVC1744,AGT006,Pending,Bill Payment,Wallet,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0.0,3538.82,Circle-East,100,87.06,30,2025,1,21,2025,1,16,2025,2,15,31,No anomaly,No
INV103615,CUST003612,SVC7518,AGT017,Pending,Recharge,Debit Card,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0.0,9438.82,Circle-South,500,163.0,28,2024,1,4,2023,12,31,2024,1,28,29,No anomaly,No
INV108306,CUST006768,SVC6757,AGT140,Paid,Bill Payment,Credit Card,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1178.82,0.0,Rural-Zone,25,14.95,30,2023,10,28,2023,10,26,2023,11,25,31,No anomaly,No
INV108416,CUST000687,SVC6091,AGT110,Paid,Bill Payment,Cash,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0.0,Rural-Zone,30,10.99,30,2024,7,10,2024,7,5,2024,8,4,31,No anomaly,No
INV100574,CUST000928,SVC8889,AGT021,Pending,Plan Change,Cash,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,Circle-West,1000,669.64,30,2024,9,9,2024,9,8,2024,10,8,31,No anomaly,No
INV103591,CUST004402,SVC9509,AGT127,Pending,Bill Payment,Debit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,Circle-East,150,81.68,28,2024,7,29,2024,7,28,2024,8,25,29,No anomaly,No
INV102793,CUST007994,SVC8284,AGT025,Pending,Renewal,Cash,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,Circle-South,150,114.98,30,2023,12,24,2023,12,21,2024,1,20,31,No anomaly,No
INV100238,CUST005068,SVC5839,AGT064,Pending,New Connection,Credit Card,Smart Connect,Prepaid,699,125.82,824.82,824.82,0.0,824.82,Circle-North,15,1.22,31,2025,7,5,2025,6,30,2025,7,31,32,Usage mismatch,No
INV105481,CUST003454,SVC8161,AGT021,Pending,New Connection,Cash,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,Circle-West,150,65.81,28,2025,3,31,2025,3,27,2025,4,24,29,No anomaly,No
INV103521,CUST002113,SVC2789,AGT018,Paid,New Connection,Wallet,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0.0,Rural-Zone,100,78.05,30,2024,8,12,2024,8,11,2024,9,10,31,No anomaly,No
INV100467,CUST006043,SVC5655,AGT114,Pending,Plan Change,Debit Card,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0.0,9438.82,Circle-East,500,108.94,30,2023,11,13,2023,11,9,2023,12,9,31,No anomaly,No
INV104360,CUST000096,SVC5177,AGT123,Pending,Recharge,Cash,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,Circle-West,1000,948.98,31,2025,2,15,2025,2,13,2025,3,16,32,Usage mismatch,No
INV100434,CUST004455,SVC7695,AGT066,Pending,Plan Change,Credit Card,Youth Special,Prepaid,599,107.82,706.82,706.82,0.0,706.82,Circle-West,10,5.68,30,2024,12,6,2024,12,5,2025,1,4,31,No anomaly,No
INV103756,CUST004770,SVC5940,AGT012,Pending,Bill Payment,Debit Card,Youth Special,Prepaid,599,107.82,706.82,706.82,0.0,706.82,Circle-South,10,5.32,30,2025,8,12,2025,8,8,2025,9,7,31,No anomaly,No
INV104440,CUST003053,SVC7769,AGT127,Pending,Recharge,Wallet,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,Circle-North,1000,707.85,30,2024,10,17,2024,10,16,2024,11,15,31,No anomaly,No
INV104167,CUST000817,SVC9814,AGT117,Pending,New Connection,Net Banking,Smart Connect,Prepaid,699,125.82,824.82,824.82,0.0,824.82,Metro-B,15,1.59,28,2024,9,6,2024,9,4,2024,10,2,29,No anomaly,No
INV100969,CUST002577,SVC7400,AGT092,Pending,Plan Change,Cash,Basic Starter,Prepaid,399,71.82,470.82,470.82,0.0,470.82,Circle-West,5,2.38,28,2024,12,15,2024,12,12,2025,1,9,29,No anomaly,No
INV101385,CUST003559,SVC3830,AGT039,Pending,Bill Payment,Debit Card,Youth Special,Prepaid,599,107.82,706.82,706.82,0.0,706.82,Metro-B,10,3.47,31,2025,7,2,2025,6,30,2025,7,31,32,No anomaly,No
INV102732,CUST005870,SVC1672,AGT015,Paid,Plan Change,Wallet,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,2948.82,0.0,Metro-A,75,39.03,30,2025,3,28,2025,3,25,2025,4,24,31,No anomaly,No
INV103404,CUST006424,SVC6477,AGT085,Pending,New Connection,Wallet,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,Metro-A,150,106.86,31,2023,11,22,2023,11,19,2023,12,20,32,No anomaly,No
INV100074,CUST003347,SVC8381,AGT121,Paid,Renewal,Credit Card,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0.0,Metro-B,100,14.87,30,2025,1,16,2025,1,14,2025,2,13,31,No anomaly,No
INV105289,CUST003720,SVC1954,AGT054,Pending,New Connection,Cash,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,Metro-A,150,49.46,28,2023,11,28,2023,11,24,2023,12,22,29,No anomaly,No
INV102902,CUST001077,SVC1151,AGT001,Pending,Recharge,Net Banking,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,0.0,2948.82,Metro-A,75,16.92,31,2025,3,28,2025,3,25,2025,4,25,32,No anomaly,No
INV101538,CUST000215,SVC5671,AGT084,Pending,Plan Change,Cash,Basic Starter,Prepaid,399,71.82,470.82,470.82,0.0,470.82,Metro-A,5,1.93,28,2024,11,21,2024,11,18,2024,12,16,29,No anomaly,No
INV102337,CUST004901,SVC2267,AGT066,Pending,Bill Payment,Cash,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,Circle-East,750,600.01,31,2023,9,29,2023,9,24,2023,10,25,32,No anomaly,No
INV101809,CUST007893,SVC9552,AGT148,Pending,Bill Payment,Auto Debit,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0.0,2358.82,Rural-Zone,50,21.59,30,2024,9,17,2024,9,13,2024,10,13,31,No anomaly,No
INV102426,CUST002513,SVC4425,AGT058,Paid,Bill Payment,Credit Card,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0.0,Metro-B,200,48.64,30,2023,11,7,2023,11,6,2023,12,6,31,No anomaly,No
INV100543,CUST000933,SVC6460,AGT088,Pending,Recharge,Cash,Basic Starter,Prepaid,399,71.82,470.82,470.82,0.0,470.82,Circle-East,5,3.64,28,2024,3,24,2024,3,21,2024,4,18,29,No anomaly,No
INV103838,CUST006146,SVC1043,AGT137,Pending,Renewal,Net Banking,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,Circle-East,1000,68.75,28,2025,3,20,2025,3,17,2025,4,14,29,No anomaly,No
INV100938,CUST002216,SVC1844,AGT064,Pending,Plan Change,Wallet,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,Metro-A,30,26.43,30,2024,6,30,2024,6,28,2024,7,28,31,No anomaly,No
INV103373,CUST005596,SVC8772,AGT114,Pending,Renewal,UPI,Youth Special,Prepaid,599,107.82,706.82,706.82,0.0,706.82,Circle-East,10,4.92,30,2025,3,4,2025,2,28,2025,3,30,31,No anomaly,No
INV101878,CUST001240,SVC2661,AGT132,Pending,Bill Payment,Cash,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0.0,9438.82,Metro-A,500,126.61,31,2025,8,2,2025,7,30,2025,8,30,32,No anomaly,No
INV103728,CUST001653,SVC8898,AGT097,Pending,Plan Change,UPI,Data Booster,Prepaid,999,179.82,1178.82,1178.82,0.0,1178.82,Metro-B,25,1.64,30,2025,5,30,2025,5,25,2025,6,24,31,No anomaly,No
INV102970,CUST004345,SVC9961,AGT035,Paid,Plan Change,Credit Card,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,2948.82,0.0,Circle-South,75,55.01,30,2024,1,29,2024,1,27,2024,2,26,31,No anomaly,No
INV102448,CUST002230,SVC1555,AGT021,Paid,Plan Change,Debit Card,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0.0,Metro-B,200,107.86,30,2025,6,3,2025,5,30,2025,6,29,31,No anomaly,No
INV105669,CUST000636,SVC6296,AGT103,Pending,Bill Payment,Wallet,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,Rural-Zone,750,603.56,28,2025,4,24,2025,4,19,2025,5,17,29,No anomaly,No
INV100324,CUST007939,SVC3725,AGT106,Pending,Recharge,Net Banking,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0.0,2358.82,Circle-North,50,34.8,30,2024,10,16,2024,10,12,2024,11,11,31,No anomaly,No
INV105915,CUST002603,SVC9891,AGT036,Paid,Plan Change,UPI,Basic Starter,Prepaid,399,71.82,470.82,470.82,470.82,0.0,Rural-Zone,5,3.92,30,2025,3,1,2025,2,27,2025,3,29,31,No anomaly,No
INV100059,CUST006329,SVC5941,AGT031,Paid,Bill Payment,Auto Debit,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0.0,Metro-A,15,1.45,30,2025,5,9,2025,5,4,2025,6,3,31,No anomaly,No
INV103970,CUST003841,SVC2002,AGT086,Pending,Renewal,UPI,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,Circle-East,1000,418.63,31,2023,11,18,2023,11,13,2023,12,14,32,No anomaly,No
INV105682,CUST002361,SVC3680,AGT085,Paid,Renewal,Debit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,Circle-West,1000,389.24,28,2025,6,12,2025,6,9,2025,7,7,29,Usage mismatch,No
INV100442,CUST005522,SVC1590,AGT093,Paid,Plan Change,Cash,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,Metro-A,1000,584.43,30,2025,4,12,2025,4,11,2025,5,11,31,No anomaly,No
INV100293,CUST002982,SVC7274,AGT039,Paid,Plan Change,Auto Debit,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0.0,Metro-A,200,8.74,30,2024,5,9,2024,5,8,2024,6,7,31,No anomaly,No
INV108605,CUST004236,SVC4329,AGT044,Paid,Plan Change,UPI,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0.0,Rural-Zone,100,87.2,30,2024,4,2,2024,3,29,2024,4,28,31,No anomaly,No
INV101163,CUST004571,SVC8133,AGT090,Pending,Plan Change,Credit Card,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,0.0,1532.82,Rural-Zone,40,26.04,28,2025,1,16,2025,1,12,2025,2,9,29,No anomaly,No
INV103333,CUST007617,SVC6383,AGT073,Pending,New Connection,Auto Debit,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,Circle-North,30,6.07,31,2024,7,31,2024,7,28,2024,8,28,32,No anomaly,No
INV103028,CUST005599,SVC7432,AGT081,Paid,Plan Change,Debit Card,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0.0,Circle-South,100,88.32,30,2024,6,1,2024,5,31,2024,6,30,31,No anomaly,No
INV101010,CUST006498,SVC6105,AGT043,Pending,Plan Change,Cash,Smart Connect,Prepaid,699,125.82,824.82,824.82,0.0,824.82,Circle-South,15,1.47,30,2024,10,24,2024,10,21,2024,11,20,31,No anomaly,No
INV104050,CUST001028,SVC8353,AGT115,Paid,Recharge,Net Banking,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0.0,Circle-North,150,125.17,30,2025,3,27,2025,3,25,2025,4,24,31,No anomaly,No
INV102512,CUST003583,SVC6645,AGT129,Paid,Recharge,Net Banking,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0.0,Circle-East,500,68.02,30,2025,2,28,2025,2,27,2025,3,29,31,No anomaly,No
INV101240,CUST004213,SVC5649,AGT077,Pending,Renewal,Auto Debit,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,Circle-East,1000,481.93,28,2024,2,15,2024,2,13,2024,3,12,29,No anomaly,No
INV104208,CUST000340,SVC5534,AGT121,Pending,New Connection,Credit Card,Basic Starter,Prepaid,399,71.82,470.82,470.82,0.0,470.82,Rural-Zone,5,2.58,28,2024,5,13,2024,5,11,2024,6,8,29,No anomaly,No
INV100377,CUST005541,SVC7305,AGT039,Pending,Bill Payment,Wallet,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0.0,5898.82,Metro-A,200,65.69,28,2024,3,25,2024,3,23,2024,4,20,29,No anomaly,No
INV101714,CUST006378,SVC3558,AGT007,Paid,Plan Change,Net Banking,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0.0,Metro-A,100,84.37,30,2024,6,8,2024,6,5,2024,7,5,31,No anomaly,No
INV104447,CUST003945,SVC2954,AGT112,Pending,Bill Payment,Debit Card,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,Circle-South,30,24.5,30,2025,7,20,2025,7,18,2025,8,17,31,No anomaly,No
INV102262,CUST000604,SVC3119,AGT096,Pending,Bill Payment,UPI,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,0.0,1532.82,Circle-East,40,10.78,31,2025,7,13,2025,7,8,2025,8,8,32,No anomaly,No
INV104846,CUST000391,SVC6835,AGT048,Pending,Plan Change,Credit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,Metro-A,150,71.12,30,2025,3,9,2025,3,8,2025,4,7,31,No anomaly,No
INV102008,CUST006829,SVC5139,AGT092,Paid,Bill Payment,Credit Card,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0.0,Rural-Zone,200,51.41,30,2023,12,25,2023,12,20,2024,1,19,31,No anomaly,No
INV100917,CUST006304,SVC5098,AGT058,Pending,Recharge,Net Banking,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0.0,9438.82,Circle-North,500,3.28,28,2024,2,11,2024,2,10,2024,3,9,29,No anomaly,No
INV101581,CUST000805,SVC8192,AGT138,Pending,Renewal,Credit Card,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0.0,5898.82,Rural-Zone,200,181.09,30,2023,12,6,2023,12,4,2024,1,3,31,No anomaly,No
INV101790,CUST003740,SVC9230,AGT132,Paid,Renewal,Auto Debit,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,Circle-East,1000,139.73,30,2023,12,21,2023,12,16,2024,1,15,31,No anomaly,No
INV102070,CUST002918,SVC8376,AGT119,Paid,Plan Change,Credit Card,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0.0,Circle-North,500,343.98,30,2024,8,10,2024,8,9,2024,9,8,31,No anomaly,No
INV104797,CUST004756,SVC5825,AGT038,Pending,Bill Payment,Wallet,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0.0,5898.82,Rural-Zone,200,26.71,28,2025,6,2,2025,6,1,2025,6,29,29,No anomaly,No
INV102119,CUST000032,SVC9345,AGT101,Pending,Recharge,Cash,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0.0,3538.82,Rural-Zone,100,43.04,28,2023,12,22,2023,12,20,2024,1,17,29,No anomaly,No
INV101363,CUST002304,SVC5086,AGT030,Pending,Plan Change,Net Banking,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,Metro-A,750,498.65,30,2023,12,18,2023,12,13,2024,1,12,31,No anomaly,No
INV100696,CUST007671,SVC4857,AGT077,Pending,Plan Change,Auto Debit,Youth Special,Prepaid,599,107.82,706.82,706.82,0.0,706.82,Metro-B,10,2.86,30,2024,6,18,2024,6,14,2024,7,14,31,No anomaly,No
INV103698,CUST004885,SVC9210,AGT114,Pending,Plan Change,UPI,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,Circle-South,30,5.07,31,2023,10,25,2023,10,21,2023,11,21,32,No anomaly,No
INV102181,CUST004474,SVC8124,AGT078,Paid,New Connection,Net Banking,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,Circle-West,1000,480.38,30,2024,1,18,2024,1,14,2024,2,13,31,No anomaly,No
INV104201,CUST001819,SVC6858,AGT082,Pending,New Connection,Credit Card,Youth Special,Prepaid,599,107.82,706.82,706.82,0.0,706.82,Circle-East,10,5.89,31,2024,12,13,2024,12,12,2025,1,12,32,Usage mismatch,No
INV102328,CUST005651,SVC2137,AGT052,Pending,Bill Payment,Debit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,Metro-A,150,62.19,30,2023,11,11,2023,11,7,2023,12,7,31,No anomaly,No
INV101320,CUST000772,SVC7611,AGT147,Paid,Recharge,Auto Debit,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0.0,Circle-South,100,31.52,30,2025,3,14,2025,3,10,2025,4,9,31,No anomaly,No
INV102854,CUST007901,SVC7794,AGT054,Pending,Bill Payment,Auto Debit,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,Circle-East,150,79.83,30,2025,6,2,2025,6,1,2025,7,1,31,No anomaly,No
INV101848,CUST003109,SVC6129,AGT066,Pending,Plan Change,Net Banking,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,Metro-B,30,6.06,30,2025,7,7,2025,7,6,2025,8,5,31,No anomaly,No
INV103776,CUST006605,SVC5088,AGT014,Pending,Renewal,Net Banking,Youth Special,Prepaid,599,107.82,706.82,706.82,0.0,706.82,Circle-East,10,0.45,30,2023,12,17,2023,12,12,2024,1,11,31,No anomaly,No
INV108792,CUST005369,SVC7955,AGT016,Paid,Plan Change,Cash,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0.0,Circle-South,50,11.99,30,2025,2,11,2025,2,7,2025,3,9,31,No anomaly,No
INV108758,CUST000668,SVC9938,AGT004,Paid,Recharge,Wallet,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,1532.82,0.0,Circle-North,40,10.18,30,2024,8,31,2024,8,30,2024,9,29,31,No anomaly,No
INV103317,CUST002482,SVC9599,AGT011,Pending,Renewal,Auto Debit,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,0.0,2948.82,Rural-Zone,75,42.81,30,2024,9,24,2024,9,22,2024,10,22,31,No anomaly,No
INV103320,CUST007298,SVC5773,AGT102,Pending,Recharge,UPI,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,Circle-West,750,146.76,31,2025,6,3,2025,5,29,2025,6,29,32,No anomaly,No
INV105517,CUST007591,SVC3878,AGT112,Pending,Recharge,Wallet,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0.0,9438.82,Circle-East,500,328.33,28,2024,2,12,2024,2,8,2024,3,7,29,No anomaly,No
INV103158,CUST002769,SVC6802,AGT106,Pending,Recharge,Credit Card,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0.0,3538.82,Metro-A,100,26.68,28,2024,3,9,2024,3,6,2024,4,3,29,No anomaly,No
INV104082,CUST006050,SVC5096,AGT012,Pending,Renewal,Auto Debit,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,0.0,2948.82,Metro-A,75,33.14,31,2025,7,16,2025,7,13,2025,8,13,32,No anomaly,No
INV102759,CUST007382,SVC1026,AGT029,Paid,Bill Payment,Debit Card,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0.0,Metro-B,500,340.53,30,2025,3,19,2025,3,14,2025,4,13,31,No anomaly,No
INV101112,CUST002799,SVC6142,AGT031,Pending,New Connection,Net Banking,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,0.0,1532.82,Circle-South,40,30.24,31,2024,2,22,2024,2,20,2024,3,22,32,No anomaly,No
INV102103,CUST006220,SVC6063,AGT039,Pending,New Connection,Debit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,Circle-West,1000,476.19,31,2024,12,25,2024,12,22,2025,1,22,32,Usage mismatch,No
INV102836,CUST003171,SVC1320,AGT088,Paid,Renewal,Debit Card,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0.0,Circle-South,15,14.12,30,2025,6,18,2025,6,13,2025,7,13,31,No anomaly,No
INV100376,CUST005488,SVC6542,AGT133,Paid,Bill Payment,Cash,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,Circle-West,1000,929.0,30,2024,9,25,2024,9,20,2024,10,20,31,No anomaly,No
INV105924,CUST007813,SVC3506,AGT116,Pending,Bill Payment,UPI,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,Metro-A,30,21.53,30,2024,12,7,2024,12,2,2025,1,1,31,No anomaly,No
INV104216,CUST002672,SVC1764,AGT068,Pending,Renewal,Cash,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0.0,9438.82,Circle-North,500,403.88,28,2024,5,3,2024,4,29,2024,5,27,29,No anomaly,No
INV101418,CUST000923,SVC2410,AGT061,Pending,Recharge,Auto Debit,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0.0,2358.82,Circle-East,50,8.29,31,2025,5,4,2025,5,3,2025,6,3,32,No anomaly,No
INV105696,CUST007028,SVC7474,AGT031,Pending,Bill Payment,Wallet,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0.0,3538.82,Circle-East,100,40.37,30,2025,3,29,2025,3,27,2025,4,26,31,No anomaly,No
INV108232,CUST004009,SVC2877,AGT136,Paid,Recharge,Wallet,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0.0,Circle-East,750,679.13,30,2024,7,20,2024,7,19,2024,8,18,31,No anomaly,No
INV103734,CUST001481,SVC1260,AGT051,Pending,New Connection,Debit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,Circle-South,1000,51.51,30,2025,5,20,2025,5,16,2025,6,15,31,No anomaly,No
INV101593,CUST006923,SVC9656,AGT111,Pending,Plan Change,Credit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,Circle-North,150,102.92,31,2023,11,12,2023,11,10,2023,12,11,32,No anomaly,No
INV100167,CUST000995,SVC4292,AGT036,Pending,Plan Change,Auto Debit,Data Booster,Prepaid,999,179.82,1178.82,1178.82,0.0,1178.82,Circle-South,25,12.08,30,2024,7,26,2024,7,24,2024,8,23,31,No anomaly,No
INV103024,CUST001787,SVC6023,AGT010,Pending,Recharge,Auto Debit,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0.0,5898.82,Circle-West,200,189.24,28,2025,6,2,2025,5,29,2025,6,26,29,No anomaly,No
INV105064,CUST002676,SVC7612,AGT132,Paid,Renewal,Wallet,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,Circle-South,1000,757.4,30,2024,4,24,2024,4,20,2024,5,20,31,No anomaly,No
INV105444,CUST001553,SVC8638,AGT014,Paid,Plan Change,UPI,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0.0,Circle-North,10,8.56,30,2024,10,6,2024,10,2,2024,11,1,31,No anomaly,No
INV103008,CUST006293,SVC5833,AGT094,Pending,Bill Payment,Debit Card,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,0.0,2948.82,Metro-A,75,68.37,30,2023,11,10,2023,11,7,2023,12,7,31,No anomaly,No
INV101131,CUST002421,SVC2581,AGT057,Pending,New Connection,Auto Debit,Youth Special,Prepaid,599,107.82,706.82,706.82,0.0,706.82,Rural-Zone,10,5.16,31,2024,1,6,2024,1,2,2024,2,2,32,No anomaly,No
