Invoice_number,Customer_id,Service_id,Agent_id,Billing_date,Payment_status,Transaction_type,Mode_of_payment,Plan_name,Plan_category,Plan_charge,Tax_amount,Actual_amount,Billed_amount,Paid_amount,Balance_amount,Plan_start_date,Plan_end_date,Zone_area,Data_bought,Data_used,Billing_cycle,No_of_valid_days,Leakage,Anomaly_type
INV102580,CUST004634,SVC9772,AGT028,21-08-2024,Paid,Plan Change,UPI,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0,18-08-2024,15-09-2024,Circle-North,200,153.6,28,28,No,No anomaly
INV101415,CUST006986,SVC1511,AGT013,16-10-2023,Paid,New Connection,UPI,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0,11-10-2023,10-11-2023,Metro-A,15,12.6,30,30,No,No anomaly
INV101956,CUST001085,SVC5795,AGT014,08-03-2024,Paid,Renewal,Credit Card,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0,06-03-2024,03-04-2024,Circle-South,50,31.44,28,28,No,No anomaly
INV105991,CUST001481,SVC3310,AGT008,17-10-2023,Paid,Bill Payment,UPI,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,2948.82,0,15-10-2023,14-11-2023,Metro-A,75,24.49,30,30,No,No anomaly
INV105297,CUST000791,SVC7840,AGT132,03-05-2024,Pending,Plan Change,Debit Card,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0,3538.82,30-04-2024,31-05-2024,Metro-B,100,10.13,31,31,No,No anomaly
INV105096,CUST006010,SVC9753,AGT075,16-01-2025,Pending,Plan Change,Net Banking,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0,4718.82,12-01-2025,09-02-2025,Rural-Zone,150,36.63,28,28,No,No anomaly
INV108297,CUST000844,SVC4352,AGT017,19-05-2025,Paid,Plan Change,Cash,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0,15-05-2025,15-06-2025,Circle-North,10,1.37,31,35,Yes,Usage mismatch
INV106640,CUST001299,SVC6125,AGT037,16-03-2024,Paid,New Connection,Wallet,Business Pro,Postpaid,2999,539.82,3538.82,2440.37,2440.37,0,14-03-2024,14-04-2024,Circle-South,100,74.49,31,31,Yes,Missing charges
INV107599,CUST006672,SVC9333,AGT118,07-04-2024,Partial,Renewal,Net Banking,Youth Special,Prepaid,599,107.82,706.82,706.82,399.13,307.69,05-04-2024,03-05-2024,Circle-North,10,5.34,28,28,Yes,Under payment
INV107023,CUST003890,SVC1269,AGT114,26-09-2024,Paid,Bill Payment,Net Banking,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,5266.49,-2317.67,23-09-2024,24-10-2024,Metro-A,75,5.09,31,31,Yes,Excess payment
INV106228,CUST000526,SVC8103,AGT140,08-09-2024,Paid,Plan Change,Net Banking,Corporate Elite,Postpaid,3999,719.82,4718.82,3789.58,3789.58,0,04-09-2024,04-10-2024,Circle-West,150,54.1,30,30,Yes,Missing charges
INV103277,CUST006519,SVC8845,AGT025,04-11-2023,Paid,New Connection,Cash,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1178.82,0,02-11-2023,30-11-2023,Rural-Zone,25,1.64,28,28,No,No anomaly
INV108755,CUST002335,SVC4872,AGT010,02-10-2023,Paid,Bill Payment,Net Banking,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0,01-10-2023,29-10-2023,Circle-West,100,53.02,28,25,Yes,Usage mismatch
INV104155,CUST004345,SVC1647,AGT121,12-09-2023,Paid,Bill Payment,UPI,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0,11-09-2023,09-10-2023,Circle-West,10,9.18,28,28,No,No anomaly
INV108201,CUST003008,SVC6466,AGT074,12-05-2024,Paid,Plan Change,Debit Card,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0,07-05-2024,07-06-2024,Circle-West,15,5.35,31,45,Yes,Usage mismatch
INV108233,CUST007907,SVC1322,AGT146,28-08-2024,Paid,Renewal,Wallet,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0,25-08-2024,24-09-2024,Circle-South,500,53.64,30,33,Yes,Usage mismatch
INV108905,CUST006089,SVC5682,AGT114,20-01-2025,Paid,Recharge,Credit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0,16-01-2025,16-02-2025,Metro-B,1000,1199.18,31,31,Yes,Extra data usage
INV105833,CUST002469,SVC1887,AGT046,03-12-2024,Pending,Plan Change,Debit Card,Data Booster,Prepaid,999,179.82,1178.82,1178.82,0,1178.82,28-11-2024,29-12-2024,Circle-South,25,7.82,31,31,No,No anomaly
INV107934,CUST002986,SVC8015,AGT118,07-09-2023,Partial,Plan Change,Wallet,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,3607.52,2291.3,06-09-2023,04-10-2023,Circle-North,200,125.87,28,28,Yes,Under payment
INV100942,CUST005979,SVC8109,AGT095,15-02-2025,Paid,Plan Change,Net Banking,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,2948.82,0,11-02-2025,14-03-2025,Metro-A,75,31.78,31,31,No,No anomaly
INV102024,CUST001401,SVC3964,AGT150,21-02-2024,Pending,Renewal,Debit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0,15338.82,18-02-2024,20-03-2024,Circle-West,1000,526.44,31,31,No,No anomaly
INV100328,CUST000407,SVC7437,AGT147,13-08-2024,Pending,Bill Payment,Auto Debit,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0,15338.82,10-08-2024,10-09-2024,Circle-South,1000,225.67,31,31,No,No anomaly
INV101051,CUST002642,SVC3280,AGT052,21-09-2024,Pending,Renewal,Debit Card,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,0,1532.82,19-09-2024,17-10-2024,Circle-South,40,25.8,28,28,No,No anomaly
INV108147,CUST005288,SVC3397,AGT146,11-10-2023,Partial,Recharge,Wallet,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,1048.31,484.51,07-10-2023,07-11-2023,Circle-East,40,15.46,31,31,Yes,Under payment
INV106533,CUST007313,SVC5046,AGT093,02-03-2024,Paid,Plan Change,Wallet,Basic Starter,Prepaid,399,71.82,470.82,296.73,296.73,0,27-02-2024,28-03-2024,Metro-B,5,1.2,30,30,Yes,Missing charges
INV109077,CUST002253,SVC4048,AGT076,30-10-2024,Paid,Bill Payment,Credit Card,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0,25-10-2024,25-11-2024,Metro-B,15,36.22,31,31,Yes,Extra data usage
INV103492,CUST002295,SVC4075,AGT080,03-08-2024,Paid,Recharge,UPI,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0,01-08-2024,31-08-2024,Metro-B,750,685.88,30,30,No,No anomaly
INV102441,CUST002244,SVC9786,AGT109,20-09-2023,Paid,Recharge,Wallet,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0,18-09-2023,19-10-2023,Circle-West,150,134.38,31,31,No,No anomaly
INV103682,CUST000790,SVC8928,AGT010,15-09-2024,Pending,Bill Payment,Debit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0,15338.82,12-09-2024,12-10-2024,Rural-Zone,1000,700.9,30,30,No,No anomaly
INV100476,CUST005859,SVC8183,AGT003,17-05-2025,Pending,Plan Change,Credit Card,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0,5898.82,16-05-2025,15-06-2025,Metro-B,200,51.15,30,30,No,No anomaly
INV105738,CUST001418,SVC7369,AGT044,12-08-2025,Pending,Plan Change,Cash,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0,5898.82,08-08-2025,05-09-2025,Circle-North,200,14.24,28,28,No,No anomaly
INV103758,CUST001540,SVC4069,AGT034,28-01-2025,Pending,Renewal,UPI,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0,2358.82,26-01-2025,25-02-2025,Metro-A,50,19.73,30,30,No,No anomaly
INV100014,CUST003982,SVC2133,AGT137,14-06-2024,Paid,Plan Change,Debit Card,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0,12-06-2024,12-07-2024,Circle-West,15,1.22,30,30,No,No anomaly
INV102495,CUST007793,SVC3571,AGT036,27-03-2025,Paid,Plan Change,Credit Card,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0,25-03-2025,22-04-2025,Circle-North,200,92.22,28,28,No,No anomaly
INV104115,CUST007829,SVC2332,AGT048,21-02-2025,Paid,Renewal,Net Banking,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0,19-02-2025,22-03-2025,Circle-South,500,99.59,31,31,No,No anomaly
INV104682,CUST007563,SVC4223,AGT088,12-02-2025,Pending,Bill Payment,Auto Debit,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0,9438.82,08-02-2025,10-03-2025,Rural-Zone,500,53.65,30,30,No,No anomaly
INV107766,CUST001069,SVC5035,AGT068,02-05-2024,Partial,New Connection,Debit Card,Youth Special,Prepaid,599,107.82,706.82,706.82,370.49,336.33,27-04-2024,28-05-2024,Rural-Zone,10,1.32,31,31,Yes,Under payment
INV101501,CUST002111,SVC2744,AGT038,12-11-2024,Pending,Bill Payment,Debit Card,Youth Special,Prepaid,599,107.82,706.82,706.82,0,706.82,07-11-2024,07-12-2024,Rural-Zone,10,7.62,30,30,No,No anomaly
INV105148,CUST006831,SVC7614,AGT112,05-12-2024,Paid,Renewal,Auto Debit,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0,30-11-2024,30-12-2024,Circle-West,500,430.81,30,30,No,No anomaly
INV105043,CUST007652,SVC8594,AGT127,04-04-2024,Paid,Bill Payment,Wallet,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0,02-04-2024,30-04-2024,Circle-North,200,16.2,28,28,No,No anomaly
INV100672,CUST003083,SVC8250,AGT118,10-06-2025,Pending,New Connection,Credit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0,4718.82,06-06-2025,06-07-2025,Metro-B,150,44.82,30,30,No,No anomaly
INV101277,CUST002313,SVC2724,AGT064,04-10-2023,Paid,Plan Change,UPI,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0,03-10-2023,03-11-2023,Metro-B,100,68.14,31,31,No,No anomaly
INV100306,CUST000835,SVC3290,AGT032,20-03-2025,Paid,New Connection,Credit Card,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,1532.82,0,15-03-2025,15-04-2025,Rural-Zone,40,3.6,31,31,No,No anomaly
INV104411,CUST003999,SVC6907,AGT012,28-09-2024,Paid,New Connection,Cash,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0,24-09-2024,24-10-2024,Circle-North,1000,647.58,30,30,No,No anomaly
INV106000,CUST003510,SVC4530,AGT038,23-02-2024,Paid,Plan Change,Credit Card,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0,22-02-2024,21-03-2024,Metro-A,500,400.82,28,28,Yes,Duplicate entries
INV105827,CUST006971,SVC4428,AGT090,19-07-2025,Pending,New Connection,Cash,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0,11798.82,18-07-2025,17-08-2025,Circle-North,750,380.86,30,30,No,No anomaly
INV102652,CUST006947,SVC8871,AGT086,07-09-2024,Pending,Recharge,Wallet,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,0,2948.82,03-09-2024,03-10-2024,Circle-East,75,46.46,30,30,No,No anomaly
INV103219,CUST005864,SVC5454,AGT108,04-08-2024,Pending,Recharge,Wallet,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0,2358.82,01-08-2024,29-08-2024,Rural-Zone,50,38.69,28,28,No,No anomaly
INV101400,CUST004805,SVC3105,AGT083,23-01-2025,Pending,New Connection,Credit Card,Data Booster,Prepaid,999,179.82,1178.82,1178.82,0,1178.82,18-01-2025,17-02-2025,Metro-A,25,6.76,30,30,No,No anomaly
INV102367,CUST003633,SVC4153,AGT001,07-07-2024,Paid,Recharge,Net Banking,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1178.82,0,05-07-2024,05-08-2024,Metro-B,25,20.17,31,31,No,No anomaly
INV102862,CUST001883,SVC7524,AGT015,05-10-2024,Paid,Recharge,Wallet,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0,02-10-2024,30-10-2024,Rural-Zone,750,587.98,28,28,No,No anomaly
INV104988,CUST007765,SVC6387,AGT071,15-11-2024,Paid,Renewal,Auto Debit,Basic Starter,Prepaid,399,71.82,470.82,470.82,470.82,0,14-11-2024,12-12-2024,Rural-Zone,5,3.2,28,28,No,No anomaly
INV107491,CUST002304,SVC7508,AGT105,28-08-2025,Partial,Recharge,Credit Card,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,7771.58,1667.24,24-08-2025,23-09-2025,Circle-West,500,439.43,30,30,Yes,Under payment
INV101539,CUST000780,SVC5328,AGT086,05-07-2024,Paid,Renewal,Credit Card,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,2948.82,0,30-06-2024,31-07-2024,Metro-B,75,25.83,31,31,No,No anomaly
INV104561,CUST006989,SVC7589,AGT081,27-05-2024,Pending,Plan Change,Debit Card,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0,9438.82,23-05-2024,23-06-2024,Rural-Zone,500,256.47,31,31,No,No anomaly
INV104140,CUST000069,SVC4521,AGT125,07-04-2025,Paid,Bill Payment,Cash,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0,02-04-2025,30-04-2025,Circle-West,150,138.59,28,28,No,No anomaly
INV103207,CUST004049,SVC7841,AGT121,10-01-2025,Paid,New Connection,Auto Debit,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0,06-01-2025,03-02-2025,Circle-North,200,188.19,28,28,No,No anomaly
INV103908,CUST000918,SVC4233,AGT069,18-11-2024,Pending,Recharge,Auto Debit,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0,5898.82,14-11-2024,15-12-2024,Metro-A,200,130.67,31,31,No,No anomaly
INV109013,CUST004318,SVC3409,AGT081,30-03-2024,Paid,Bill Payment,UPI,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0,27-03-2024,27-04-2024,Circle-South,50,63.93,31,31,Yes,Extra data usage
INV101426,CUST004426,SVC3612,AGT147,16-01-2024,Paid,Plan Change,Auto Debit,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0,13-01-2024,12-02-2024,Rural-Zone,500,284.43,30,30,No,No anomaly
INV101559,CUST000161,SVC6363,AGT142,20-05-2024,Paid,Recharge,Wallet,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0,16-05-2024,16-06-2024,Circle-North,500,70.82,31,31,No,No anomaly
INV100022,CUST000018,SVC7396,AGT068,04-01-2025,Paid,Recharge,UPI,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0,31-12-2024,30-01-2025,Circle-South,10,1.56,30,30,No,No anomaly
INV104986,CUST001430,SVC5615,AGT068,03-03-2024,Paid,Recharge,Auto Debit,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0,01-03-2024,31-03-2024,Metro-B,15,8,30,30,No,No anomaly
INV102860,CUST005076,SVC3252,AGT018,04-10-2023,Pending,New Connection,Auto Debit,Data Booster,Prepaid,999,179.82,1178.82,1178.82,0,1178.82,30-09-2023,30-10-2023,Circle-North,25,12.58,30,30,No,No anomaly
INV100654,CUST001076,SVC1284,AGT123,11-02-2025,Paid,Renewal,UPI,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0,07-02-2025,07-03-2025,Circle-West,200,22.15,28,28,No,No anomaly
INV105059,CUST001922,SVC7070,AGT048,23-04-2025,Pending,New Connection,Credit Card,Basic Starter,Prepaid,399,71.82,470.82,470.82,0,470.82,20-04-2025,20-05-2025,Rural-Zone,5,4.02,30,30,No,No anomaly
INV105054,CUST002095,SVC8159,AGT109,15-01-2024,Pending,Recharge,Auto Debit,Data Booster,Prepaid,999,179.82,1178.82,1178.82,0,1178.82,13-01-2024,12-02-2024,Circle-South,25,3.78,30,30,No,No anomaly
INV101043,CUST007822,SVC7189,AGT028,27-07-2024,Paid,Renewal,Cash,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0,25-07-2024,22-08-2024,Circle-West,750,138.11,28,28,No,No anomaly
INV108116,CUST002442,SVC2952,AGT060,27-07-2024,Partial,Bill Payment,Cash,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,13588.31,1750.51,26-07-2024,25-08-2024,Circle-West,1000,475.25,30,30,Yes,Under payment
INV106675,CUST005564,SVC9139,AGT035,05-04-2024,Paid,Recharge,Cash,Enterprise Pro,Enterprise,7999,1439.82,9438.82,11578.84,11578.84,0,03-04-2024,03-05-2024,Metro-A,500,177.65,30,30,Yes,Missing charges
INV101544,CUST005802,SVC3075,AGT044,02-11-2024,Pending,Bill Payment,Debit Card,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0,5898.82,01-11-2024,02-12-2024,Circle-South,200,41.5,31,31,No,No anomaly
INV108408,CUST005603,SVC9200,AGT116,07-09-2023,Paid,Recharge,Net Banking,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0,04-09-2023,04-10-2023,Metro-B,100,78.95,30,40,Yes,Usage mismatch
INV108036,CUST006266,SVC7504,AGT064,24-05-2025,Partial,Plan Change,Net Banking,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,855,677.82,21-05-2025,20-06-2025,Circle-North,40,35.79,30,30,Yes,Under payment
INV108856,CUST003881,SVC8660,AGT070,06-06-2024,Paid,Plan Change,Wallet,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0,04-06-2024,04-07-2024,Circle-North,100,182.91,30,30,Yes,Extra data usage
INV105103,CUST002898,SVC4987,AGT070,10-11-2024,Paid,Plan Change,Wallet,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0,06-11-2024,07-12-2024,Metro-A,200,40.25,31,31,No,No anomaly
INV105463,CUST003902,SVC3215,AGT097,12-07-2025,Pending,Plan Change,Cash,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0,5898.82,09-07-2025,08-08-2025,Metro-B,200,95.65,30,30,No,No anomaly
INV107568,CUST004951,SVC9040,AGT025,02-02-2024,Partial,Plan Change,Auto Debit,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,1996.37,2722.45,28-01-2024,27-02-2024,Metro-A,150,19.4,30,30,Yes,Under payment
INV105003,CUST001391,SVC4691,AGT091,18-07-2025,Paid,New Connection,Cash,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0,14-07-2025,11-08-2025,Metro-B,500,9.23,28,28,No,No anomaly
INV102842,CUST006405,SVC9976,AGT122,31-10-2024,Paid,New Connection,Wallet,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0,29-10-2024,28-11-2024,Rural-Zone,150,132.74,30,30,No,No anomaly
INV103280,CUST005874,SVC7772,AGT018,02-02-2024,Pending,Bill Payment,Wallet,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0,11798.82,28-01-2024,25-02-2024,Circle-East,750,579.78,28,28,No,No anomaly
INV105162,CUST005572,SVC8978,AGT117,26-07-2025,Pending,Renewal,UPI,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,0,2948.82,24-07-2025,23-08-2025,Rural-Zone,75,31.39,30,30,No,No anomaly
INV108696,CUST004182,SVC7564,AGT011,10-09-2024,Paid,Renewal,Cash,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0,05-09-2024,05-10-2024,Rural-Zone,30,23.54,30,26,Yes,Usage mismatch
INV106353,CUST001389,SVC4995,AGT098,08-03-2025,Paid,Recharge,Net Banking,Industry Solution,Enterprise,9999,1799.82,11798.82,8850.13,8850.13,0,03-03-2025,03-04-2025,Rural-Zone,750,585.68,31,31,Yes,Missing charges
INV106458,CUST005260,SVC6080,AGT119,19-06-2025,Paid,Recharge,Credit Card,Travel Pack,Prepaid,1299,233.82,1532.82,2257.54,2257.54,0,17-06-2025,15-07-2025,Metro-A,40,25.72,28,28,Yes,Missing charges
INV105708,CUST002632,SVC6408,AGT086,23-10-2024,Paid,Recharge,Net Banking,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0,22-10-2024,22-11-2024,Circle-South,150,16.01,31,31,No,No anomaly
INV103954,CUST006686,SVC9458,AGT051,04-10-2023,Paid,New Connection,UPI,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0,01-10-2023,29-10-2023,Metro-A,750,441.15,28,28,No,No anomaly
INV106552,CUST000073,SVC7538,AGT149,23-03-2025,Paid,Recharge,Net Banking,Executive Plan,Postpaid,2499,449.82,2948.82,1687.86,1687.86,0,21-03-2025,21-04-2025,Circle-South,75,64.5,31,31,Yes,Missing charges
INV107697,CUST007319,SVC1524,AGT097,17-11-2024,Partial,Bill Payment,Cash,Data Booster,Prepaid,999,179.82,1178.82,1178.82,548.84,629.98,16-11-2024,16-12-2024,Rural-Zone,25,22.65,30,30,Yes,Under payment
INV104756,CUST002271,SVC6222,AGT019,05-09-2024,Paid,Plan Change,Wallet,Basic Starter,Prepaid,399,71.82,470.82,470.82,470.82,0,03-09-2024,04-10-2024,Circle-East,5,4.42,31,31,No,No anomaly
INV106000,CUST002806,SVC4482,AGT034,27-08-2025,Paid,Renewal,Auto Debit,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,1532.82,0,26-08-2025,26-09-2025,Metro-A,40,11.85,31,31,Yes,Duplicate entries
INV106000,CUST003648,SVC3712,AGT041,28-11-2024,Paid,Plan Change,Wallet,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0,26-11-2024,24-12-2024,Circle-North,200,86.99,28,28,Yes,Duplicate entries
INV104420,CUST002762,SVC4569,AGT017,18-09-2024,Pending,Renewal,UPI,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0,11798.82,13-09-2024,13-10-2024,Circle-East,750,668.08,30,30,No,No anomaly
INV103102,CUST005848,SVC1598,AGT015,16-03-2025,Pending,Renewal,UPI,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0,3538.82,14-03-2025,14-04-2025,Metro-B,100,47.47,31,31,No,No anomaly
INV102301,CUST006660,SVC8346,AGT002,19-01-2024,Paid,Plan Change,Net Banking,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,2948.82,0,18-01-2024,15-02-2024,Circle-East,75,26.65,28,28,No,No anomaly
INV106516,CUST007761,SVC5195,AGT080,20-09-2023,Paid,New Connection,UPI,Industry Solution,Enterprise,9999,1799.82,11798.82,7289.54,7289.54,0,19-09-2023,19-10-2023,Metro-B,750,314.28,30,30,Yes,Missing charges
INV102463,CUST001438,SVC9140,AGT080,25-01-2024,Paid,New Connection,Credit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0,22-01-2024,19-02-2024,Metro-B,1000,948.42,28,28,No,No anomaly
INV104916,CUST003717,SVC6352,AGT026,24-09-2023,Pending,New Connection,Cash,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0,5898.82,21-09-2023,21-10-2023,Metro-B,200,38.76,30,30,No,No anomaly
INV102832,CUST004566,SVC8430,AGT104,27-09-2024,Pending,Recharge,Net Banking,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0,3538.82,23-09-2024,21-10-2024,Rural-Zone,100,10.95,28,28,No,No anomaly
INV100955,CUST005358,SVC5028,AGT099,11-04-2024,Paid,Recharge,Wallet,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0,08-04-2024,09-05-2024,Circle-South,10,7.62,31,31,No,No anomaly
INV103852,CUST006704,SVC3765,AGT094,04-02-2024,Paid,New Connection,Cash,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0,01-02-2024,03-03-2024,Rural-Zone,100,5.15,31,31,No,No anomaly
INV107494,CUST004991,SVC2748,AGT006,11-01-2025,Partial,Plan Change,Auto Debit,Youth Special,Prepaid,599,107.82,706.82,706.82,634.46,72.36,09-01-2025,09-02-2025,Circle-West,10,3.02,31,31,Yes,Under payment
INV108427,CUST006677,SVC5611,AGT068,25-10-2024,Paid,New Connection,Auto Debit,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0,23-10-2024,20-11-2024,Rural-Zone,150,40.77,28,32,Yes,Usage mismatch
INV108526,CUST003178,SVC5807,AGT115,20-03-2025,Paid,Plan Change,Auto Debit,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0,19-03-2025,18-04-2025,Circle-East,50,21.17,30,20,Yes,Usage mismatch
INV108399,CUST005243,SVC1187,AGT075,16-02-2024,Paid,Plan Change,Cash,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0,14-02-2024,13-03-2024,Circle-West,500,329.9,28,43,Yes,Usage mismatch
INV105334,CUST001606,SVC7212,AGT111,08-09-2024,Pending,Recharge,Credit Card,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0,3538.82,05-09-2024,05-10-2024,Metro-B,100,60.86,30,30,No,No anomaly
INV102268,CUST003297,SVC1161,AGT008,19-02-2025,Paid,New Connection,Credit Card,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0,18-02-2025,21-03-2025,Circle-North,500,470.75,31,31,No,No anomaly
INV101295,CUST000862,SVC5590,AGT071,25-06-2024,Pending,Renewal,Cash,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0,11798.82,21-06-2024,22-07-2024,Circle-East,750,40.36,31,31,No,No anomaly
INV105765,CUST003786,SVC1382,AGT102,14-01-2025,Pending,New Connection,Wallet,Data Booster,Prepaid,999,179.82,1178.82,1178.82,0,1178.82,11-01-2025,08-02-2025,Rural-Zone,25,21.94,28,28,No,No anomaly
INV106345,CUST000409,SVC9337,AGT004,04-12-2024,Paid,Renewal,Credit Card,Family Pack,Postpaid,1499,269.82,1768.82,2094.18,2094.18,0,02-12-2024,01-01-2025,Metro-B,30,20.72,30,30,Yes,Missing charges
INV103778,CUST001311,SVC9279,AGT061,30-07-2024,Paid,Bill Payment,Wallet,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0,25-07-2024,25-08-2024,Metro-B,1000,475.47,31,31,No,No anomaly
INV102635,CUST003510,SVC8899,AGT048,18-12-2023,Pending,New Connection,Credit Card,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0,5898.82,13-12-2023,10-01-2024,Metro-A,200,123.12,28,28,No,No anomaly
INV106000,CUST006459,SVC2959,AGT136,30-07-2024,Paid,Recharge,Debit Card,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,1532.82,0,27-07-2024,26-08-2024,Metro-B,40,20.89,30,30,Yes,Duplicate entries
INV103764,CUST005589,SVC1278,AGT135,21-11-2023,Pending,Renewal,Cash,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,0,2948.82,16-11-2023,16-12-2023,Circle-North,75,17.36,30,30,No,No anomaly
INV105045,CUST000960,SVC3071,AGT057,08-03-2025,Pending,New Connection,Net Banking,Basic Starter,Prepaid,399,71.82,470.82,470.82,0,470.82,04-03-2025,03-04-2025,Metro-B,5,1.85,30,30,No,No anomaly
INV101611,CUST001056,SVC7988,AGT005,13-05-2025,Paid,New Connection,Debit Card,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0,12-05-2025,09-06-2025,Rural-Zone,10,1.11,28,28,No,No anomaly
